Module,Question (English),Answer (English),Service,Question (Arabic),Answer (Arabic),Keywords
OQOOD,What information is available about certified survey companies?,You can view a list of certified survey companies instantly.,Oqood,ما هي المعلومات المتاحة عن شركات المسح المعتمدة؟,يمكنك الاطلاع على قائمة شركات المساحة المعتمدة على الفور.,"information, certified survey companies"
OQOOD,Are there any documents required to view certified survey companies lists?,"No, these services do not require any documents or fees.",Oqood,هل هناك مستندات مطلوبة لعرض قوائم شركات المسح المعتمدة؟,لا، لا تتطلب هذه الخدمات تتطلب أي مستندات أو رسوم.,"documents, certified survey companies, lists"
OQOOD,How can I apply for a property survey?,"Apply for the ""Request for Real Estate Survey"" service, which covers various property types such as lands, buildings, villas, or units.",Oqood,كيف يمكنني التقديم للحصول على مسح عقاري؟,"تقدم بطلب للحصول على خدمة ”طلب للمساحة العقارية""، والتي تغطي مختلف أنواع العقارات مثل الأراضي أو المباني أو الفلل أو الوحدات السكنية.","apply, property survey"
OQOOD,What is the next step after project registration?,"The next step is to upload specific data, such as project units, villas, or plans, as required.",Oqood,ما هي الخطوة التالية بعد تسجيل المشروع؟,الخطوة التالية هي تحميل بيانات محددة، مثل وحدات المشروع أو الفلل أو المخططات حسب الحاجة.,"next step, project registration"
OQOOD,What are the fees for project surveys?,"Survey fees range from AED 500 to AED 5,000, depending on the property type. Knowledge and innovation fees of AED 10 each are also applicable.",Oqood,ما هي الرسوم الخاصة بمسح المشاريع؟,"تتراوح رسوم المسح من 500 درهم إماراتي إلى 5,000 درهم إماراتي، حسب نوع العقار. رسوم المعرفة والابتكار بقيمة 10 دراهم إماراتية لكل منهما.","fees, project surveys"
OQOOD,What are the fees for uploading project units?,"The service may involve approval fees, issuance fees, and additional charges based on the number and type of units uploaded.",Oqood,ما هي الرسوم الخاصة برفع وحدات المشروع؟,قد تتضمن الخدمة رسوم الموافقة ورسوم الإصدار والرسوم الإضافية بناءً على عدد و ونوع الوحدات التي تم تحميلها.,"fees, uploading, project units"
OQOOD,What are the fees for uploading project villas?,"Similar to units, villa upload services may have approval and issuance fees, depending on the project's details.",Oqood,ما هي الرسوم الخاصة برفع فلل المشروع؟,على غرار الوحدات، قد تنطوي خدمة تحميل الفلل على رسوم موافقة ورسوم إصدار حسب تفاصيل المشروع.,"fees, uploading, project villas"
OQOOD,What are the fees for uploading project details?,"Fees for uploading project details vary and include charges for approval, issuance, and required supporting documents.",Oqood,ما هي الرسوم الخاصة برفع تفاصيل المشروع؟,تختلف رسوم تحميل تفاصيل المشروع وتشمل رسوم الموافقة والإصدار والمستندات الداعمة المطلوبة.,"fees, uploading, project details"
OQOOD,What are the fees for uploading project drawings?,"Charges depend on the type of drawings and maps required, such as 3D building plans or common area maps, with fees starting from AED 250.",Oqood,ما هي الرسوم الخاصة برفع رسومات المشروع؟,وتعتمد الرسوم على نوع الرسومات والخرائط المطلوبة، مثل مخططات المباني ثلاثية الأبعاد أو خرائط المنطقة المشتركة، وتبدأ الرسوم من 250 درهماً إماراتياً.,"fees, uploading, project drawings"
OQOOD,How can I amend uploaded project units?,"Use the ""Request to Amend Real Estate Project Data"" service to modify uploaded unit information.",Oqood,كيف يمكنني تعديل بيانات الوحدات المرفوعة؟,استخدم خدمة ”طلب تعديل بيانات المشروع العقاري“ لتعديل معلومات الوحدة التي تم تحميلها.,"amend, uploaded project units"
OQOOD,How can I amend uploaded project villas?,"The ""Request to Amend Real Estate Project Data"" service also allows for villa data updates and corrections.",Oqood,كيف يمكنني تعديل بيانات الفلل المرفوعة؟,تسمح خدمة ”طلب تعديل بيانات المشروع العقاري“ أيضاً بتحديث بيانات الفلل وتصحيحها.,"amend, uploaded project villas"
OQOOD,How can I amend uploaded project data?,"You can amend project data, such as unit type, number, or common area details, through the amendment request service.",Oqood,كيف يمكنني تعديل بيانات المشروع المرفوعة؟,يمكنك تعديل بيانات المشروع، مثل نوع الوحدة أو رقمها أو تفاصيل المنطقة المشتركة، من خلال خدمة طلب التعديل.,"amend, uploaded project data"
OQOOD,How can I apply for a property survey update?,"Submit a ""Request for Real Estate Survey Update"" to make changes to an existing survey or request updates.",Oqood,كيف يمكنني التقديم لتحديث مسح عقاري؟,قم بإرسال ”طلب تحديث مسح عقاري“ لإجراء تغييرات على مسح موجود أو طلب تحديثات.,"apply, property survey update"
OQOOD,What are the fees for project data changes?,"Fees for data changes include AED 120 for approvals and AED 250 for map updates, along with knowledge and innovation fees.",Oqood,ما هي الرسوم الخاصة بتغييرات بيانات المشروع؟,تشمل رسوم تغيير البيانات 120 درهماً إماراتياً للموافقات و250 درهماً إماراتياً لتحديثات الخرائط، بالإضافة إلى رسوم المعرفة والابتكار.,"fees, project data changes"
OQOOD,What are the fees for project data updates?,"Similar to data changes, updates involve approval and issuance fees per property, as well as fees for updated maps or plans.",Oqood,ما هي الرسوم الخاصة بتحديث بيانات المشروع؟,وعلى غرار تغييرات البيانات، تتضمن التحديثات رسوم الموافقة والإصدار لكل عقار، بالإضافة إلى رسوم الخرائط أو المخططات المحدثة.,"fees, project data updates"
OQOOD,What are the fees for project survey updates?,"Survey update fees align with standard survey charges, which range from AED 500 to AED 5,000 based on property type.",Oqood,ما هي الرسوم الخاصة بتحديث مسح المشروع؟,"تتماشى رسوم تحديث المساحات مع رسوم المسح القياسية التي تتراوح بين 500 درهم إماراتي و5,000 درهم إماراتي بناءً على نوع العقار.","fees, project survey updates"
OQOOD,What is included in the project data amendment?,"Amendments may include unit space, type, number, parking, storage, and common area details, as well as addition or removal of units.",Oqood,ما الذي يتضمنه تعديل بيانات المشروع؟,قد تشمل التعديلات مساحة الوحدة ونوعها وعددها ومواقف السيارات والتخزين وتفاصيل المنطقة المشتركة، بالإضافة إلى إضافة وحدات أو إزالتها.,"project data amendment, included"
OQOOD,What documents are needed for a survey request?,"Required documents may include architectural plans approved by planning authorities, depending on the property type.",Oqood,ما هي المستندات المطلوبة لطلب مسح عقاري؟,قد تشمل المستندات المطلوبة المخططات المعمارية المعتمدة من سلطات التخطيط، حسب نوع العقار.,"documents, survey request"
OQOOD,What documents are needed for project data changes?,"For amendments, provide architectural plans approved by planning authorities.",Oqood,ما هي المستندات المطلوبة لتحديث بيانات المشروع؟,بالنسبة للتعديلات، قدم المخططات المعمارية المعتمدة من سلطات التخطيط.,"documents, project data changes"
OQOOD,How much does a unit's common area survey cost?,"AED 5,000, plus AED 10 knowledge fee and AED 10 innovation fee.",Oqood,كم يكلف مسح المناطق المشتركة للوحدة؟,"5,000 درهم إماراتي بالإضافة إلى 10 دراهم إماراتية رسوم معرفة و10 دراهم إماراتية رسوم ابتكار.","unit's common area, survey cost"
OQOOD,How much does a villa survey cost?,"AED 600, plus AED 10 knowledge fee and AED 10 innovation fee.",Oqood,كم يكلف مسح الفيلا؟,600 درهم إماراتي، بالإضافة إلى 10 دراهم رسوم معرفة و10 دراهم رسوم ابتكار.,villa survey cost
OQOOD,How much does a business center survey cost?,"AED 2,000, plus AED 10 knowledge fee and AED 10 innovation fee.",Oqood,كم يكلف مسح مركز الأعمال؟,"2,000 درهم إماراتي، بالإضافة إلى 10 دراهم رسوم معرفة و10 دراهم رسوم ابتكار.","business center, survey cost"
OQOOD,How much does a building plan approval cost?,"AED 500 for each building plan, with additional knowledge and innovation fees of AED 10 each.",Oqood,كم يكلف الحصول على موافقة مخطط البناء؟,500 درهم إماراتي لكل خطة بناء، مع رسوم معرفة وابتكار إضافية بقيمة 10 دراهم لكل منهما.,"building plan, approval cost"
OQOOD,How to claim my full payment to the developer to issue a title deed?,"Use the ""Completed Delayed Sale"" service to issue a certificate of ownership by contacting the developer. Service fees apply.",Oqood,كيف يمكنني المطالبة بدفع المبلغ الكامل للحصول على سند الملكية؟,استخدم خدمة ”البيع المؤجل المكتمل“ لإصدار شهادة ملكية عن طريق الاتصال بالمطور. تطبق رسوم الخدمة.,"claim, full payment, title deed"
OQOOD,I paid the full amount to the developer. How can I get my title deed?,"Contact the developer to initiate the ""Completed Delayed Sale"" service for title deed issuance, paying any applicable fees.",Oqood,لقد دفعت المبلغ بالكامل للمطور. كيف يمكنني الحصول على سند الملكية؟,اتصل بالمطوِّر لبدء خدمة ”البيع المتأخر المكتمل“ لإصدار سند الملكية، مع دفع أي رسوم سارية.,"paid, full amount, title deed"
OQOOD,My payment plan is finished. How can I register my title deed?,"The ""Completed Delayed Sale"" service allows registration upon fulfilling contractual obligations. Reach out to the developer for assistance.",Oqood,انتهى جدول الدفع الخاص بي. كيف يمكنني تسجيل سند الملكية؟,تسمح خدمة ”البيع المتأخر المكتمل“ بالتسجيل عند الوفاء بالالتزامات التعاقدية. تواصل مع المطور للحصول على المساعدة.,"payment plan, register, title deed"
OQOOD,What is the fee for issuing a title deed?,"AED 250 for title deed issuance, plus AED 10 knowledge and AED 10 innovation fees.",Oqood,ما هي رسوم إصدار سند الملكية؟,250 درهماً إماراتياً لإصدار سند الملكية، بالإضافة إلى 10 دراهم إماراتية رسوم المعرفة و10 دراهم إماراتية رسوم الابتكار.,"fee, issuing, title deed"
OQOOD,What is the fee for issuing a real estate unit map?,"AED 250 for each unit or villa map, plus AED 10 knowledge and AED 10 innovation fees.",Oqood,ما هي رسوم إصدار مخطط الوحدة العقارية؟,250 درهماً إماراتياً لكل وحدة أو خريطة فيلا، بالإضافة إلى 10 دراهم رسوم معرفة و10 دراهم رسوم ابتكار.,"fee, issuing, real estate unit map"
OQOOD,What is the fee for issuing a land map?,"AED 100 per land map, plus AED 10 knowledge and AED 10 innovation fees.",Oqood,ما هي رسوم إصدار مخطط الأرض؟,100 درهم لكل خريطة أرض، بالإضافة إلى 10 دراهم رسوم معرفة و10 دراهم رسوم ابتكار.,"fee,issuing,land,map"
OQOOD,"Who can apply for the ""Completed Delayed Sale"" service?",Any party who has fulfilled their contractual obligations can apply for the service by contacting the developer.,Oqood,"من يمكنه التقديم على خدمة ""البيع المتأخر المكتمل""؟",يمكن لأي طرف استوفى التزاماته التعاقدية التقدم بطلب للحصول على الخدمة عن طريق الاتصال بالمطور.,"complete,delayed,sell"
OQOOD,Are there additional charges besides the title deed fee?,"Yes, fees for map issuance and standard knowledge and innovation fees apply.",Oqood,هل توجد رسوم إضافية بخلاف رسوم سند الملكية؟,نعم، تطبق رسوم إصدار الخريطة ورسوم المعرفة والابتكار القياسية.,"charge,title deed,fee"
OQOOD,"What documents are needed for the ""Completed Delayed Sale"" service?",Documents typically include proof of full payment and a request from the developer for title deed issuance.,Oqood,"ما هي المستندات المطلوبة لخدمة ""البيع المتأخر المكتمل""؟",تتضمن المستندات عادةً إثبات السداد الكامل وطلب من المطور لإصدار سند الملكية.,"complete,delayed,sell"
OQOOD,How long does the title deed issuance process take?,The timeline depends on the developer's processing and submission of required documents.,Oqood,كم يستغرق إصدار سند الملكية؟,يعتمد الجدول الزمني على قيام المطور بتجهيز وتقديم المستندات المطلوبة.,"title deed,procees,time"
OQOOD,Can I apply directly for the title deed without the developer?,"No, you must contact the developer to initiate the ""Completed Delayed Sale"" service.",Oqood,هل يمكنني التقديم على سند الملكية مباشرة بدون المطور؟,لا، يجب عليك الاتصال بالمطور لبدء خدمة ”البيع المتأخر المكتمل“.,"title deed,developer"
OQOOD,What should I do if the developer delays the process?,Contact the relevant authorities or the service provider for escalation and assistance.,Oqood,ماذا أفعل إذا تأخر المطور في العملية؟,اتصل بالجهات المعنية أو مقدم الخدمة للتصعيد والمساعدة.,"developer,process,delay"
OQOOD,Is the AED 250 fee refundable if the title deed is delayed?,The fee is non-refundable as it covers administrative and processing costs.,Oqood,هل رسوم 250 درهم قابلة للاسترداد إذا تأخر إصدار سند الملكية؟,الرسوم غير قابلة للاسترداد لأنها تغطي التكاليف الإدارية وتكاليف المعالجة.,"refund,fees,title deed"
OQOOD,What happens if there is an error in the issued title deed?,You should notify the issuing authority or the developer immediately for corrections. Additional fees may apply for amendments.,Oqood,ماذا يحدث إذا كان هناك خطأ في سند الملكية الصادر؟,يجب عليك إخطار السلطة المصدرة أو المطور على الفور لإجراء التصحيحات. قد يتم تطبيق رسوم إضافية للتعديلات.,"title deed,issuing,error"
OQOOD,Are there discounts on the service fees?,"Service fees are standardized, and discounts are generally not available.",Oqood,هل توجد خصومات على رسوم الخدمات؟,رسوم الخدمة موحدة، والخصومات غير متاحة بشكل عام.,"service,fee,discount"
OQOOD,Can I get the title deed without completing the payment plan?,"No, the ""Completed Delayed Sale"" service requires that all contractual obligations, including full payments, are fulfilled.",Oqood,هل يمكنني الحصول على سند الملكية دون إكمال خطة الدفع؟,كلا، تتطلب خدمة ”البيع المتأخر المكتمل“ الوفاء بجميع الالتزامات التعاقدية، بما في ذلك المدفوعات الكاملة.,"title deed,payment plan"
OQOOD,What is the process for map issuance?,"Submit the required documents through Oqood,TABU,Dubai REST or property trustee office then pay the applicable fees, and receive the map once processed.",Oqood,ما هي عملية إصدار المخطط؟,قم بتقديم المستندات المطلوبة من خلال مكتب ”عقود“ أو ”طابو“ أو ”دبي ريست“ أو مكتب أمين العقارات ثم ادفع الرسوم المطبقة، واستلم الخريطة بمجرد الانتهاء من تجهيزها.,"map,issuance,process"
OQOOD,Can I request the title deed for a joint property?,"Yes, joint owners can apply for the ""Completed Delayed Sale"" service, provided all payments and obligations are completed.",Oqood,هل يمكنني طلب سند ملكية لعقار مشترك؟,نعم، يمكن للمالكين المشتركين التقدم بطلب للحصول على خدمة ”البيع المؤجل المكتمل“، شريطة اكتمال جميع المدفوعات والالتزامات.,"title deed, joint property"
OQOOD,Is the map fee mandatory for every property type?,"Yes, map fees apply to all property types but vary (AED 250 for units/villas, AED 100 for land).",Oqood,هل رسوم المخطط إلزامية لكل نوع من أنواع العقارات؟,نعم، تنطبق رسوم الخريطة على جميع أنواع العقارات ولكنها تختلف (250 درهماً إماراتياً للوحدات/الفلل و100 درهم إماراتي للأراضي).,"map,fee,property type"
OQOOD,How can I verify the payment status before applying?,Obtain a payment completion statement from the developer to ensure all dues are settled.,Oqood,كيف يمكنني التحقق من حالة الدفع قبل التقديم؟,احصل على بيان إتمام الدفع من المطور لضمان تسوية جميع المستحقات.,"verify,payment status"
OQOOD,Can I apply Usufruct / Musataha in Dubai?,"Yes, ""Usufruct Registration / Musataha"" allows customers to apply for long-term use or building rights on property for up to 99 or 50 years, respectively.",Oqood,هل يمكنني التقديم على الانتفاع/المساطحة في دبي؟,نعم، يتيح ”تسجيل حق الانتفاع/المساطحة“ للعملاء التقدم بطلب للحصول على حقوق استخدام أو حقوق بناء طويلة الأجل على العقار لمدة تصل إلى 99 أو 50 عاماً على التوالي.,"usufruct,musataha"
OQOOD,What are the requirements for Usufruct Registration?,"An electronic No Objection Certificate (eNOC) from the developer, Emirates ID, and Power of Attorney if applicable, are needed.",Oqood,ما هي متطلبات تسجيل الانتفاع؟,ويلزم تقديم شهادة عدم ممانعة إلكترونية (eNOC) من المطور وهوية إماراتية وتوكيل رسمي إن أمكن.,usufruct
OQOOD,How to Usufruct / Musataha a property in Dubai?,"Apply for the ""Usufruct Registration / Musataha"" service to register usage or building rights.",Oqood,كيف يمكنني تسجيل الانتفاع/المساطحة لعقار في دبي؟,تقدم بطلب للحصول على خدمة ”تسجيل حق الانتفاع/المساطحة“ لتسجيل حقوق الانتفاع أو حقوق البناء.,"usufruct,musataha"
OQOOD,What is the cost of registering Usufruct / Musataha?,"Fees range from 1% of Musataha value to 2% of rental value for long-term leases, plus AED 10 knowledge and AED 10 innovation fees per transaction.",Oqood,كم تبلغ تكلفة تسجيل الانتفاع/المساطحة؟,تتراوح الرسوم من 1% من قيمة المساطحة إلى 2% من القيمة الإيجارية لعقود الإيجار طويلة الأجل، بالإضافة إلى 10 دراهم إماراتية رسوم معرفة و10 دراهم إماراتية رسوم ابتكار لكل معاملة.,"usufruct,musataha"
OQOOD,How much is the fee for title deed issuance?,"AED 250 for title deed issuance, plus AED 10 knowledge and AED 10 innovation fees.",Oqood,كم تبلغ رسوم إصدار سند الملكية؟,250 درهمًا إماراتيًا لإصدار سند الملكية، بالإضافة إلى 10 دراهم رسوم معرفة و10 دراهم رسوم ابتكار.,"title deed,fee,issuance"
OQOOD,How much is the fee for land map issuance?,"AED 100 per land map, plus AED 10 knowledge and AED 10 innovation fees.",Oqood,كم تبلغ رسوم إصدار مخطط الأرض؟,100 درهم لكل خريطة أرض، بالإضافة إلى 10 دراهم رسوم معرفة و10 دراهم رسوم ابتكار.,"map,fee,issuance"
OQOOD,How much is the fee for villa or apartment maps?,"AED 250 per map, plus AED 10 knowledge and AED 10 innovation fees.",Oqood,كم تبلغ رسوم إصدار مخططات الفلل أو الشقق؟,250 درهم لكل خريطة، بالإضافة إلى 10 دراهم رسوم معرفة و10 دراهم رسوم ابتكار.,"documents, project, service, fees, aed"
OQOOD,Where can I register a Usufruct / Musataha transaction?,Registration is available at more than ten Registration Trustees offices in Dubai. And developers can make it through Oqood system.,Oqood,أين يمكنني تسجيل معاملة الانتفاع/المساطحة؟,التسجيل متاح في أكثر من عشرة مكاتب لأمناء التسجيل في دبي. ويمكن للمطورين إجراؤه من خلال نظام عقود.,"usufruct,musataha"
OQOOD,What documents are required for Usufruct registration?,"Emirates ID, eNOC, and, if applicable, Power of Attorney for individuals; trade licenses and other company documents for entities.",Oqood,ما هي المستندات المطلوبة لتسجيل الانتفاع؟,بطاقة الهوية الإماراتية، وشهادة عدم الممانعة الإلكترونية، والتوكيل الرسمي للأفراد إن أمكن، والتراخيص التجارية وغيرها من وثائق الشركات للكيانات.,"usufruct,musataha"
OQOOD,Can I register a Usufruct / Musataha for off-plan property?,"Yes, the ""Request for Initial Usufruct Registration"" service allows registration for off-plan properties with associated fees.",Oqood,هل يمكنني تسجيل الانتفاع/المساطحة لعقار غير مكتمل؟,نعم، تتيح خدمة ”طلب تسجيل حق الانتفاع الأولي“ تسجيل العقارات على الخارطة مع الرسوم المرتبطة بها.,"usufruct,musataha,off-plan"
OQOOD,How do I terminate a Usufruct / Musataha agreement?,"Use the ""Request for Usufruct Termination"" service and provide a termination letter and identification documents.",Oqood,كيف يمكنني إنهاء اتفاقية الانتفاع/المساطحة؟,استخدم خدمة ”طلب إنهاء حق الانتفاع“ مع تقديم خطاب إنهاء حق الانتفاع ووثائق إثبات الهوية.,"usufruct,musataha"
OQOOD,How much does it cost to terminate Usufruct / Musataha?,"AED 1,000 service fee, AED 250 for title deed updates, AED 10 knowledge fee, and AED 10 innovation fee.",Oqood,كم يكلف إنهاء الانتفاع/المساطحة؟,"رسوم الخدمة 1,000 درهم إماراتي، و250 درهماً إماراتياً لتحديث سند الملكية، و10 دراهم إماراتية رسوم المعرفة، و10 دراهم إماراتية رسوم الابتكار.","usufruct,musataha"
OQOOD,What documents are needed for Usufruct / Musataha termination?,"Termination letter, Emirates ID, or valid passport for non-residents.",Oqood,ما هي المستندات المطلوبة لإنهاء الانتفاع/المساطحة؟,خطاب الإنهاء والهوية الإماراتية أو جواز سفر ساري المفعول لغير المقيمين.,"usufruct,musataha"
OQOOD,How can I amend a Usufruct / Musataha agreement?,"Use the ""Request for Usufruct Amendment"" service to update terms or values.",Oqood,كيف يمكنني تعديل اتفاقية الانتفاع/المساطحة؟,استخدم خدمة ”طلب تعديل حق الانتفاع“ لتحديث الشروط أو القيم.,"usufruct,musataha"
OQOOD,What are the fees for Usufruct / Musataha amendments?,"2% of the sale price and amendment value, AED 250 for title deed, AED 10 knowledge, and AED 10 innovation fees, plus applicable mapping fees.",Oqood,ما هي رسوم تعديل الانتفاع/المساطحة؟,2% من سعر البيع وقيمة التعديل، و250 درهماً إماراتياً لسند الملكية، و10 دراهم إماراتية رسوم المعرفة، و10 دراهم إماراتية رسوم الابتكار، بالإضافة إلى رسوم رسم الخرائط المعمول بها.,"usufruct,musataha"
OQOOD,Can a company register a Usufruct agreement?,"Yes, companies need to provide trade licenses, legal agency documents, and establishment contracts.",Oqood,هل يمكن للشركات تسجيل اتفاقية انتفاع؟,نعم، تحتاج الشركات إلى تقديم التراخيص التجارية ووثائق الوكالة القانونية وعقود التأسيس.,"usufruct,musataha"
OQOOD,What is Musataha registration?,Musataha allows the beneficiary to build on land and use buildings for up to 50 years.,Oqood,ما هو تسجيل المساطحة؟,تسمح المصاطحة للمستفيد بالبناء على الأرض واستخدام المباني لمدة تصل إلى 50 عاماً.,musataha
OQOOD,What is Usufruct registration?,Usufruct allows the beneficiary to use and benefit from a property for up to 99 years.,Oqood,ما هو تسجيل الانتفاع؟,حق الانتفاع يسمح للمستفيد باستخدام العقار والانتفاع به لمدة تصل إلى 99 عاماً.,usufruct
OQOOD,What are the fees for off-plan Usufruct registration?,"2% of the sale value for both the seller and buyer, plus AED 10 knowledge and AED 10 innovation fees.",Oqood,ما هي الرسوم الخاصة بتسجيل الانتفاع للعقارات غير المكتملة؟,2٪ من قيمة البيع لكل من البائع والمشتري، بالإضافة إلى 10 دراهم إماراتية رسوم معرفة و10 دراهم إماراتية رسوم ابتكار.,"usufruct,musataha,fee,registration"
OQOOD,How long can a Usufruct lease last?,Up to 99 years for long-term leases.,Oqood,ما هي مدة اتفاقية الانتفاع؟,حتى 99 سنة لعقود الإيجار طويلة الأجل.,"usufruct,lease"
OQOOD,How long can a Musataha agreement last?,Up to 50 years.,Oqood,ما هي مدة اتفاقية المساطحة؟,حتى 50 سنة.,"musataha,agreement"
OQOOD,What happens if the Usufruct period ends?,"The property usage returns to the actual owner, and termination documents must be submitted.",Oqood,ماذا يحدث إذا انتهت مدة الانتفاع؟,يعود استخدام العقار إلى المالك الفعلي، ويجب تقديم مستندات الإنهاء.,"usufruct,period,end"
OQOOD,How to update my sale registration data?,"Use the ""Procedure Modification"" service, which allows developers to amend data in the initial real estate registry.",Oqood,كيف يمكنني تحديث بيانات تسجيل البيع؟,استخدم خدمة ”تعديل الإجراءات“، والتي تسمح للمطورين بتعديل البيانات في السجل العقاري الأولي.,"sale,registration"
OQOOD,"If there is a mistake in my contract, how to correct it?","Contact the developer to initiate the ""Procedure Modification"" service for corrections.",Oqood,إذا كان هناك خطأ في العقد، كيف يمكنني تصحيحه؟,اتصل بالمطور لبدء خدمة ”تعديل الإجراءات“ لإجراء التصحيحات.,"mistake,contract"
OQOOD,"I have a mistake in my contract with the developer, how to adjust it?","You can amend your contract by contacting the developer and providing the required documents for the ""Procedure Modification"" service.",Oqood,لدي خطأ في عقدي مع المطور، كيف يمكنني تعديله؟,يمكنك تعديل عقدك عن طريق الاتصال بالمطور وتقديم المستندات المطلوبة لخدمة ”تعديل الإجراءات“.,"mistake,contract,developer"
OQOOD,Can I update my contract with the developer?,"Yes, you can update your contract by requesting the ""Procedure Modification"" service through the developer.",Oqood,هل يمكنني تحديث عقدي مع المطور؟,نعم، يمكنك تحديث عقدك عن طريق طلب خدمة ”تعديل الإجراءات“ من خلال المطور.,"contract,developer"
OQOOD,Can I update my registered property data?,"Yes, the ""Procedure Modification"" service allows updates to registered property data via the developer.",Oqood,هل يمكنني تحديث بيانات العقار المسجل؟,نعم، تتيح خدمة ”تعديل الإجراءات“ تحديث بيانات العقار المسجلة عن طريق المطور.,"registered,property,data,update"
OQOOD,What documents are needed for sale registration updates?,"Sale and Purchase Agreement, amendment appendix signed by both parties, Emirates ID, passport, and relevant bank/agency documents if applicable.",Oqood,ما هي المستندات المطلوبة لتحديث تسجيل البيع؟,اتفاقية البيع والشراء، وملحق التعديل الموقع من كلا الطرفين، وبطاقة الهوية الإماراتية، وجواز السفر، والوثائق المصرفية/الوكالة ذات الصلة إن وجدت.,"document,sale,registration"
OQOOD,Is there a fee for contract correction?,"Yes, AED 250 modification fee, AED 10 knowledge fee, and AED 10 innovation fee are applicable.",Oqood,هل توجد رسوم لتصحيح العقد؟,نعم، تُطبق رسوم تعديل بقيمة 250 درهماً إماراتياً، و10 دراهم إماراتية رسوم معرفة، و10 دراهم إماراتية رسوم ابتكار.,"contract,correcton,fee"
OQOOD,"Who initiates the ""Procedure Modification"" service?",The real estate developer can initiate the service on behalf of the client. And the service is available through property trustee offices,Oqood,"من الذي يبدأ خدمة ""تعديل الإجراءات""؟",يمكن للمطور العقاري بدء الخدمة نيابة عن العميل. وتتوفر الخدمة من خلال مكاتب أمناء العقارات,"procedure,modification,service"
OQOOD,Can banks or financing agencies request updates?,"Yes, a letter of amendment from the financing agency or bank is required for such cases.",Oqood,هل يمكن للبنوك أو وكالات التمويل طلب التحديثات؟,نعم، مطلوب خطاب تعديل من وكالة التمويل أو البنك لمثل هذه الحالات.,"bank,update"
OQOOD,How do I correct data in the real estate registry?,"Request the ""Procedure Modification"" service via your developer, submitting the required documents.",Oqood,كيف يمكنني تصحيح البيانات في سجل العقارات؟,اطلب خدمة ”تعديل الإجراءات“ عن طريق المطور العقاري الخاص بك، مع تقديم المستندات المطلوبة.,"data,correct"
OQOOD,What is the fee for property data updates?,"AED 250 for the modification fee, plus AED 10 knowledge and AED 10 innovation fees.",Oqood,ما هي رسوم تحديث بيانات العقار؟,250 درهمًا إماراتيًا لرسوم التعديل، بالإضافة إلى 10 دراهم إماراتية رسوم المعرفة و10 دراهم إماراتية رسوم الابتكار.,"fee,property,update,data"
OQOOD,Can I update multiple contracts in one request?,"Each contract may require a separate ""Procedure Modification"" request through the developer.",Oqood,هل يمكنني تحديث عدة عقود في طلب واحد؟,قد يتطلب كل عقد طلب ”تعديل إجراءات“ منفصل عن طريق المطور.,"multiple,contract,update"
OQOOD,Can I buy a property in Dubai?,"Yes, use the ""Sale Registration"" service to register the purchase of land, property, or real estate units.",Oqood,هل يمكنني شراء عقار في دبي؟,نعم، استخدم خدمة ”تسجيل البيع“ لتسجيل شراء أرض أو عقار أو وحدات عقارية.,"buy,property,dubai"
OQOOD,What are the requirements for buying property in Dubai?,"An eNOC, Emirates ID, and Power of Attorney (if applicable) are needed for individuals; companies must register with the Dubai Land Department.",Oqood,ما هي متطلبات شراء عقار في دبي؟,يلزم تقديم شهادة عدم ممانعة إلكترونية وهوية إماراتية وتوكيل رسمي (إن أمكن) للأفراد، أما الشركات فيجب عليها التسجيل لدى دائرة الأراضي والأملاك في دبي.,"buy,property,dubai,requirements"
OQOOD,How do I register a sale transaction for a property in Dubai?,"Apply via the ""Sale Registration"" service and provide all required documents, including a signed sale agreement.",Oqood,كيف يمكنني تسجيل معاملة بيع لعقار في دبي؟,تقدم عبر خدمة ”تسجيل البيع“ وقدم جميع المستندات المطلوبة، بما في ذلك اتفاقية بيع موقعة.,"register,sale,transaction,dubai,property"
OQOOD,How much are the fees for sales registration in Dubai?,"2% of the sale price for both buyer and seller, plus title deed and map issuance fees, knowledge and innovation fees, and other applicable charges.",Oqood,كم تبلغ رسوم تسجيل البيع في دبي؟,2٪ من سعر البيع لكل من البائع والمشتري، بالإضافة إلى رسوم إصدار سند الملكية والخريطة ورسوم المعرفة والابتكار والرسوم الأخرى المطبقة.,"fee,sale,registration,dubai"
OQOOD,Is it possible to buy a mortgaged property in Dubai?,"Yes, documents like a debit certificate, cheques, and Power of Attorney are required to complete the process.",Oqood,هل يمكن شراء عقار مرهون في دبي؟,نعم، يلزم تقديم مستندات مثل شهادة خصم وشيكات وتوكيل رسمي لإتمام العملية.,"buy,mortgaged,property,dubai"
OQOOD,What are the required documents for buying a mortgaged property?,"Emirates ID, debit certificate, managerâ€™s cheques for debt and fees, and a Power of Attorney if applicable.",Oqood,ما هي المستندات المطلوبة لشراء عقار مرهون؟,بطاقة الهوية الإماراتية، وشهادة خصم، وشيكات المدير للديون والرسوم، وتوكيل رسمي إن أمكن.,"buy,mortgaged,property,dubai,document"
